id,genres,name,platforms,rating,companies,release_date
8204,"Racing, Simulator, Sport",iRacing,"PC (Microsoft Windows), Oculus Rift",91.62629354920449,"iRacing.com Motorsport Simulations, iRacing",2008-08-26
12198,"Adventure, Visual Novel",Umineko no Naku Koro ni,PC (Microsoft Windows),91.5670491283154,"07th Expansion, HOBIBOX",2010-10-15
9632,"Role-playing (RPG), Simulator, Strategy, Adventure, Indie",From the Depths,"Linux, PC (Microsoft Windows), Mac",91.45780051150895,Brilliant Skies Ltd.,2020-11-06
42929,"Fighting, Hack and slash/Beat 'em up, Adventure",Batman: Arkham Knight - Game of the Year Edition,"PlayStation 4, Xbox One",91.42183171317467,"Rocksteady Studios, Warner Bros. Interactive Entertainment",2016-09-05
74,"Shooter, Role-playing (RPG), Adventure",Mass Effect 2,"PC (Microsoft Windows), PlayStation 3, Xbox 360",91.35135460078631,"BioWare, Electronic Arts, BioWare Edmonton, BioWare Montréal",2010-01-26
122556,Platform,Celeste: Farewell,"Linux, PC (Microsoft Windows), Mac, PlayStation 4, Xbox One, Nintendo Switch",91.34917699610395,Extremely OK Games,2019-09-09
134488,"Role-playing (RPG), Turn-based strategy (TBS), Adventure",Toontown Rewritten,"Linux, PC (Microsoft Windows), Mac",91.20976692563815,Toontown Rewritten Team,2014-08-20
27820,"Simulator, Strategy, Turn-based strategy (TBS)",Sid Meier's Civilization III: Complete,PC (Microsoft Windows),91.17021245244831,"Firaxis Games, 2K Games",2004-09-14
55322,"Role-playing (RPG), Adventure, Indie",Pathologic 2,"PC (Microsoft Windows), PlayStation 4, Xbox One",91.14138205505947,"Ice-Pick Lodge, tinyBuild, Pingle Game Studio",2019-05-23
142494,"Strategy, Turn-based strategy (TBS), Card & Board Game",Dragon Ball Z: Kakarot - Dragon Ball Card Warriors,"PC (Microsoft Windows), PlayStation 4, Xbox One",91.11111111111111,"CyberConnect2, Bandai Namco Entertainment",2020-10-27
8492,"Role-playing (RPG), Adventure, Indie",Lisa: The Painful,"Linux, PC (Microsoft Windows), Mac",91.10322311562084,Dingaling,2014-12-15
168668,Adventure,Uncharted 4: A Thief's End - Remastered,"PC (Microsoft Windows), PlayStation 5",91.06077997522965,Iron Galaxy Studios,2022-01-28
165206,Shooter,Doom,"PC (Microsoft Windows), Android, iOS, PlayStation 4, Xbox One, Nintendo Switch",91.00765221422336,"Bethesda Softworks, id Software, Nerve Software, LLC",2019-07-26
132181,"Shooter, Puzzle, Adventure",Resident Evil 4,"PC (Microsoft Windows), Mac, iOS, PlayStation 4, PlayStation 5, Xbox Series X|S",90.92060800158126,"Capcom Development Division 1, M-TWO, Capcom",2023-03-24
7881,"Simulator, Sport",ESPN NFL 2K5,"PlayStation 2, Xbox",90.89050815305696,"Visual Concepts, Sega, Global Star Software",2004-07-20
57692,Adventure,Resident Evil 7: Biohazard - Gold Edition,"PC (Microsoft Windows), PlayStation 4, Xbox One, Google Stadia",90.883611202671,Capcom,2017-01-24
227,Role-playing (RPG),World of Warcraft: The Burning Crusade,"PC (Microsoft Windows), Mac",90.85566650899466,Blizzard Entertainment,2007-01-15
28160,"Role-playing (RPG), Strategy, Adventure, Indie",Atom RPG,"Linux, PC (Microsoft Windows), Mac, Android, iOS, PlayStation 4, Xbox One, Nintendo Switch",90.84241043281446,"AtomTeam, AtomTeam",2018-12-19
420,"Role-playing (RPG), Adventure",Final Fantasy Chronicles,PlayStation,90.79754601226995,"Square, Tose, Square Electronic Arts",2001-06-29
26255,"Simulator, Strategy, Indie",Overcooked!: The Festive Seasoning,"PC (Microsoft Windows), PlayStation 4, Xbox One",90.77401428852005,"Ghost Town Games, Team17",2016-12-06
9607,"Adventure, Visual Novel",Clannad,"PC (Microsoft Windows), Legacy Mobile Device",90.69498811342514,"Visual Art's Motto, Key, Visual Arts",2004-04-28
21892,"Shooter, Role-playing (RPG), Adventure",Fallout 3: Game of the Year Edition,"PC (Microsoft Windows), PlayStation 3, Xbox 360",90.68998148950088,"Bethesda Game Studios, Bethesda Softworks",2009-10-13
116,"Role-playing (RPG), Adventure",Star Wars: Knights of the Old Republic,"PC (Microsoft Windows), Xbox, Mac, Android, iOS, Nintendo Switch",90.65052730296641,"BioWare, LucasArts, Activision, Aspyr Media",2003-07-15
427,"Role-playing (RPG), Turn-based strategy (TBS), Adventure",Final Fantasy VII,"PlayStation, PlayStation 3, PlayStation Portable, PlayStation Vita",90.55609123088017,"Sony Computer Entertainment, Square Product Development Division 1, Square Enix, Square",1997-01-31
11737,"Puzzle, Simulator, Adventure, Indie",Outer Wilds,"PC (Microsoft Windows), PlayStation 4, Xbox One, Nintendo Switch, PlayStation 5, Xbox Series X|S",90.5308003564056,"Annapurna Interactive, Annapurna Interactive, Mobius Digital",2019-05-28
103364,Shooter,Splatoon 2: Octo Expansion,Nintendo Switch,90.49931759036006,Nintendo,2018-06-13
15467,"Role-playing (RPG), Adventure",Shin Megami Tensei: Strange Journey,Nintendo DS,90.42746256935325,"Atlus, Atlus USA, Lancarse",2009-10-08
74878,"Shooter, Tactical, Adventure",Hitman: Game of the Year Edition,"Linux, PC (Microsoft Windows), Mac, PlayStation 4, Xbox One",90.4177875219531,"IO Interactive, Feral Interactive",2017-11-07
1440,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Tactical",Fire Emblem: The Sacred Stones,"Game Boy Advance, Nintendo 3DS, Wii U",90.34496155330748,"Intelligent Systems, Nintendo",2004-10-07
1039,"Puzzle, Role-playing (RPG), Adventure",The Legend of Zelda: Ocarina of Time 3D,Nintendo 3DS,90.31911226225878,"Grezzo, Nintendo",2011-06-16
24917,Adventure,Lone Echo,"PC (Microsoft Windows), Oculus VR, Oculus Rift",90.31585446769883,"Ready At Dawn, Oculus Studios",2017-07-20
11696,Adventure,Raw Danger!,"PlayStation 2, PlayStation 3",90.2834803709128,"Irem, Agetec, 505 Games",2006-03-30
23323,"Role-playing (RPG), Turn-based strategy (TBS)",The Legend of Heroes: Trails to Azure,"PC (Microsoft Windows), PlayStation 4, Nintendo Switch",90.26407710335118,"Nihon Falcom, NIS America",2023-03-14
